,numero,nombre,apodo,juego,arquetipo,posicion_en,elemento_en,disparo,control,tecnica,defensa,fisico,velocidad,inteligencia,total,age_group,genero,rol,imagen_url,fecha_creacion,fecha_actualizacion
0,3358,Mehr,Mehr,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Justicia,MF,Wind,140,161,162,123,119,119,145,969,Exobeing,Female,Player,https://dxi4wb638ujep.cloudfront.net/1/k/v/i/vitqrsgq3_0.png,2025-12-21 14:50:45,2025-12-21 14:50:45
1,3617,Arion Sherwind,Arion,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,MF,Wind,140,161,162,123,119,119,145,969,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/y/e/yed3ajuqoic.png,2025-12-21 14:50:46,2025-12-21 14:50:46
2,3607,Arion Sherwind,Arion,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,MF,Wind,140,161,162,123,119,119,145,969,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/b/v/bvrfyjqtgu8.png,2025-12-21 14:50:46,2025-12-21 14:50:46
3,2683,Arion Sherwind,Arion,,Afinidad,MF,Wind,140,161,162,123,119,119,145,969,,,,https://dxi4wb638ujep.cloudfront.net/1/k/u/o/uov2svfc9ru.png,2025-12-21 14:50:44,2026-01-05 19:25:09
4,2328,Arion Sherwind,Arion,Inazuma Eleven GO: Light / Shadow,Afinidad,MF,Wind,140,161,162,123,119,119,145,969,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/o/o/ooxd-ldeoym.png,2025-12-21 14:50:43,2025-12-21 14:50:43
5,3248,Vladimir Blade,Vladimir,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Justicia,FW,Fire,169,161,147,123,119,119,130,968,High School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/x/w/xwnabrc2pos.png,2025-12-21 14:50:45,2025-12-21 14:50:45
6,2543,Sol Daystar,Sol,Inazuma Eleven GO: Light / Shadow,Afinidad,FW,Fire,169,161,147,123,119,119,130,968,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/b/b/bbdhqusqicm.png,2025-12-21 14:50:44,2025-12-21 14:50:44
7,2449,David Samford,Samford,,Justicia,FW,Forest,169,161,147,123,119,119,130,968,,,,https://dxi4wb638ujep.cloudfront.net/1/k/f/l/flv05ldflc0.png,2025-12-21 14:50:44,2026-01-07 18:40:59
8,2606,Tezcat,Tezcat,Inazuma Eleven GO: Light / Shadow,Brecha,FW,Forest,169,161,147,123,119,119,130,968,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/v/g/vggdlgtj-qc.png,2025-12-21 14:50:44,2025-12-21 14:50:44
9,3312,Zanark Avalonic,Zanark,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Juego Sucio,FW,Mountain,169,161,147,123,119,119,130,968,Exobeing,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/k/2/k2rrbkajamu.png,2025-12-21 14:50:45,2025-12-21 14:50:45
10,2329,Victor Blade,Victor,Inazuma Eleven GO: Light / Shadow,Juego Sucio,FW,Fire,169,161,147,123,119,119,130,968,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/3/o/3obvj1s3khe.png,2025-12-21 14:50:43,2025-12-21 14:50:43
11,2701,Shawn Froste,Froste,,Justicia,FW,Wind,169,161,147,123,119,119,130,968,,,,https://dxi4wb638ujep.cloudfront.net/1/k/n/p/npvivtwkt3m.png,2025-12-21 14:50:44,2026-01-07 17:22:33
12,2704,Xavier Schiller,Xavier,,Afinidad,FW,Fire,169,161,147,123,119,119,130,968,,,,https://dxi4wb638ujep.cloudfront.net/1/k/j/b/jbof1s5dybs.png,2025-12-21 14:50:44,2026-01-07 15:31:17
13,2595,Bailong,Bailong,Inazuma Eleven GO: Light / Shadow,Brecha,FW,Wind,169,161,147,123,119,119,130,968,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/1/g/1g0broofgtu.png,2025-12-21 14:50:44,2025-12-21 14:50:44
